censoredWord,translation,replacementWord,translation2,
address,آدرس,supermarket,سوپرمارکت,
ahmadinejad,احمدی نژاد,literature,ادبیات,
alcohol,الکل,pear,گلابی,
amazon,آمازون,cats,گربه,
amoral,غیر اخلاقی,beggar,گدا,
arab,عرب,metal,فلزی,
arabic,عربی,face,صورت,
army,ارتش,afterthought,پس از فکر,
arrest,دستگیری,safety,ایمنی,
art,هنر,airport,فرودگاه,
artist,هنرمند,passenger,مسافر,
atomic,اتمی,patience,صبر,
attack,حمله,knot,گره,
authority,اقتدار,chance,شانس,
ayatollah,آيه الله,street,خیابان,
badoo,Badoo,guest,مهمان,
bandwidth,پهنای باند,daughter,دختر,
bbc,بی بی سی,sack,گونی,
bell,بل,two,دو,
bi,را,virus,ویروس,
biological,بیولوژیکی,arm,بازوی,
birthday,تولد,hill,تپه,
bisexual,دوجنس,paper,کاغذ,
blogger,بلاگر,train,قطار,
bomb,بمب,process,فرایند,
bombing,بمب گذاری,kick,ضربه,
bumble,بامبل,crayon,مداد,
burger,برگر,disgust,نفرت,
cbs,Cbs,movie,فیلم,
celebrate,جشن,election,انتخابات,
censor,سانسور,initiative,ابتکار,
censorship,سانسور,slave,برده,
chemical,شیمیایی,artisan,صنعتگری,
clash,برخورد,affair,امر,
clashing with people,درگیری با مردم,veil,حجاب,
cnn,Cnn,hands,دست,
code,کد,bubble,حباب,
confrontation,رویارویی,harmony,هماهنگی,
conservative,محافظه کار,bee,زنبور عسل,
convict,محکوم,cup,جام,
corrupt,فاسد,north,شمال,
corruption,فساد,media,رسانه,
covid,COVID,cloth,پارچه,
covid-19,covid-19,frogs,قورباغه,
crazy,دیوانه,receipt,رسید,
culture,فرهنگ,bit,بیتی,
dance,رقص,horn,شاخ,
death sentence,حکم اعدام,weather,هوا,
demonstration,تظاهرات,pest,آفت,
devil,شیطان,pump,پمپ,
dog,سگ,attitude,نگرش,
donkey,خر,scene,صحنه,
don't eat shit,گه نخور,tomatoes,گوجه فرنگی,
dress,لباس,note,توجه داشته باشید,
drive,درایو,nature,طبیعت,
drivers,درایور,jar,.jar,
drug,مواد مخدر,trousers,شلوار,
drugs,مواد مخدر,situation,وضعیت,
east,شرق,leather,چرم,
ebay,Ebay,depression,افسردگی,
economic,اقتصادی,degree,درجه,
economy,اقتصاد,bells,زنگ,
energy,انرژی,series,سری,
enrichment,غنی سازی,entertainment,سرگرمی,
exile,تبعید,collection,مجموعه,
facebook,فیس بوک,muscle,عضله,
female,زن,girls,دختران,
fine,پایان,introduction,مقدمه,
fox,فاکس,bridge,پل,
freedom,آزادی,computer,کامپیوتر,
gay,گی,friends,دوستان,
girl,دختر,quiver,لرزش,
gmail,جیمیل,account,حساب,
god,خدا,copy,کپی,
google,گوگل,spark,جرقه,
government,دولت,hole,سوراخ,
grant,گرانت,time,زمان,
green,سبز,wren,آچار,
guidance patrol,گشت راهنمایی,goldfish,ماهی قرمز,
haram,غیر قانونی,leadership,رهبری,
harass,آزار و اذیت,light,نور,
harassment,مزاحمت,garbage,زباله,
hijab,حجاب,powder,پودر,
homo,انسان,sleet,براق,
hornet,زنبور,bedroom,اتاق خواب,
hotmail,Hotmail,question,سوال,
hut,کلبه,floor,طبقه,
iaea,iaea,hydrant,هیدرانت,
iaeo,iaeo,wire,سیم,
illegal,غیر قانونی,aunt,عمه,
international,بین المللی,judgment,قضاوت,
internet,اینترنت,disk,دیسک,
intimidate,ارعاب,calendar,تقویم,
intimidation,ارعاب,quality,کیفیت,
ip,آی پی,employee,کارمند,
iran,ایران,lip,لب,
islam,اسلامی,stew,خورش,
islamic,اسلامی,spot,نقطه,
israel,اسرائیل,earthquake,زلزله,
kfc,Kfc,dock,با این وجود,
khamenei,خامنه ای,role,نقش,
king,پادشاه,curve,منحنی,
kingdom,پادشاهی,snails,حلزون,
koran,روزنامه,population,جمعیت,
kurd,کردی,assistance,کمک,
kurdish,کردی,moon,ماه,
law,قانون,brain,مغز,
legal,قانونی,people,مردم,
lesbian,لزبین,cry,گریه,
lgbtq+,lgbtq+,snake,مار,
liberal,لیبرال,river,رودخانه,
license,مجوز,meaning,معنی,
licenses,مجوزهای,profession,حرفه,
lyric,Lyric,mountain,کوه,
manjam,manjam,chickens,جوجه,
mcdonald's,مک دونالد,poetry,شعر,
media,رسانه,preparation,آماده سازی,
microsoft,مایکروسافت,hall,سالن,
middle,میانه,psychology,روانشناسی,
ministry,وزارت,chapter,فصل,
mizan,میزان,expression,بیان,
moral,اخلاقی,heart,قلب,
morality,اخلاق,cow,گاو,
music,موسیقی,birth,تولد,
najes,najes,skate,اسکیت,
narcotic,مواد مخدر,session,جلسه,
narcotics,مواد مخدر,lace,توری,
nbc,Nbc,resolution,وضوح,
network,شبکه,root,ریشه,
news,اخبار,smoke,دود,
nuclear,هسته ای,throat,گلو,
organization,سازمان,table,جدول,
paypal,PayPal,community,جامعه,
penalty,مجازات,fight,مبارزه,
permission,اجازه,nest,لانه,
pig,خوک,college,کالج,
pizza,پیتزا,investment,سرمایه گذاری,
police,پلیس,tea,چای,
politic,سیاسی,clover,شبدر,
politician,سیاستمدار,loaf,قرص,
politics,سیاست,oatmeal,جو دو سر,
porno,پورنو,force,نیروی,
pornographic,پورنوگرافیک,arithmetic,حساب,
private,خصوصی,awareness,آگاهی,
protest,اعتراض,hen,مرغ,
proxy,پروکسی,stamp,تمبر,
psycho,روانی,back,بازگشت,
queer,عجیب و غریب,lumber,چوب,
raid,حمله,jail,زندان,
raiding,حمله,boats,قایق,
regime,رژیم,medicine,پزشکي,
regime change,تغییر رژیم,parcel,بسته,
republic,جمهوری,blade,تیغه,
revolution,انقلاب,distribution,توزیع,
right,راست,philosophy,فلسفه,
righteous,صالح,television,تلویزیون,
rights,حقوق,yarn,نخ,
riot,شورش,legs,پاها,
sanction,تحریم,hat,است,
satellite,ماهواره ای,achiever,دست یافتنی,
sex,جنسیت,water,آب,
sexual,جنسی,flavor,طعم,
sexy,جذاب,toy,اسباب بازی,
shah,شاه,partner,شریک,
sharia,شریعت,advertisement,تبلیغات,
shortage,کمبود,nut,مهره,
sin,بدون,net,خالص,
sing,بخوان,aftermath,پس,
singer,خواننده,debt,بدهی,
sit in,نشستن در,patch,پچ,
smoking,سیگار,zebra,گورخر,
snake poison,سم مار,design,طراحی,
snapchat,اسنپ چت,drama,درام,
social media,رسانه های اجتماعی,power,قدرت,
song,آهنگ,toad,وزغ,
speech,سخنرانی,stream,جریان,
starbucks,استارباکس,selection,انتخاب,
starvation,گرسنگی,stocking,جوراب ساق بلند,
states,ایالات,coil,کویل,
supreme leader,رهبر معظم,bead,مهره,
surgery,جراحی,fireman,آتش نشان,
surveillance,نظارت,delivery,تحویل,
taco,Taco,shoe,کفش,
tci,مخابرات,quilt,لحاف,
tehran,تهران,kitty,بچه گربه,
telecommunication company,شرکت مخابرات,protest,اعتراض,
terror,ترور,books,کتاب,
terrorist,تروریستی,feather,پر,
tiktok,تیک تیک,chest,قفسه سینه,
tinder,تیندر,sheet,ورق,
torture,شکنجه,spiders,عنکبوت,
trans,ترانس,island,جزیره,
transgender,تراجنسی,perspective,چشم انداز,
twitter,توییتر,bike,دوچرخه,
uk,بریتانیا,requirement,مورد نیاز,
united,متحده,outcome,نتیجه,
us,ما,cousin,پسر عمو,
vaccine,واکسن,polish,لهستانی,
viber,وایبر,change,تغییر,
violate,نقض,climate,اقلیم,
violation,نقض,wrist,مچ,
violence,خشونت,membership,عضویت,
violent,خشونت,iron,آهن,
virtual,مجازی,ad,به,
vpn,Vpn,recipe,دستور العمل,
watch your mouth,مواظب دهنت باش,salt,نمک,
waze,waze,drain,تخلیه,
wedding,عروسی,request,درخواست,
wendy's,وندی,bone,استخوان,
west,غرب,chair,صندلی,
western,غربی,basis,اساس,
whatsapp,Whatsapp,belief,باور,
woman,زن,reality,واقعیت,
women,زنان,cough,سرفه,
wordpress,وردپرس,card,کارت,
worship,عبادت,history,تاریخ,
worshipper,نمازگزار,memory,حافظه,
worshipping,پرستش,elbow,آرنج,
yahoo,یاهو,recording,ضبط,
youtube,Youtube,observation,مشاهده,
zion,صهیون,work,کار,
zionist,صهیونیست,browser,مرورگر,
